STEP, BUS(name, type, x, y, n.pass, root, leader), BUSSTOP(name, x, y, queue)
1,[Bus_0<man>:[x=8 ,y=8]-[PAX=2],Bus_1<man>:[x=0 ,y=0]-[PAX=0],Bus_RB_2<robot>:[x=8 ,y=8]-[PAX=0],Bus_RB_3<robot>:[x=1 ,y=1]-[PAX=0],Bus_RB_4<robot>:[x=8 ,y=8]-[PAX=0],Bus_RB_5<robot>:[x=1 ,y=1]-[PAX=0],Bus_RB_6<robot>:[x=8 ,y=8]-[PAX=0],Bus_RB_7<robot>:[x=1 ,y=1]-[PAX=0],Bus_RB_8<robot>:[x=8 ,y=8]-[PAX=0],Bus_RB_9<robot>:[x=1 ,y=1]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=0],BusStop_4:[x=4 ,y=4]-[QLine=3],BusStop_3:[x=8 ,y=0]-[QLine=5],BusStop_2:[x=8 ,y=8]-[QLine=0],BusStop_1:[x=0 ,y=8]-[QLine=0]]
30,[Bus_0<man>:[x=5 ,y=5]-[PAX=10],Bus_1<man>:[x=3 ,y=3]-[PAX=10],Bus_RB_2<robot>:[x=5 ,y=5]-[PAX=10],Bus_RB_3<robot>:[x=5 ,y=5]-[PAX=10],Bus_RB_4<robot>:[x=5 ,y=5]-[PAX=5],Bus_RB_5<robot>:[x=5 ,y=5]-[PAX=1],Bus_RB_6<robot>:[x=5 ,y=5]-[PAX=3],Bus_RB_7<robot>:[x=5 ,y=5]-[PAX=3],Bus_RB_8<robot>:[x=5 ,y=5]-[PAX=3],Bus_RB_9<robot>:[x=5 ,y=5]-[PAX=1]],[BusStop_0:[x=0 ,y=0]-[QLine=17],BusStop_4:[x=4 ,y=4]-[QLine=91],BusStop_3:[x=8 ,y=0]-[QLine=21],BusStop_2:[x=8 ,y=8]-[QLine=31],BusStop_1:[x=0 ,y=8]-[QLine=7]]
31,[Bus_0<man>:[x=6 ,y=6]-[PAX=10],Bus_1<man>:[x=2 ,y=2]-[PAX=10],Bus_RB_2<robot>:[x=6 ,y=6]-[PAX=10],Bus_RB_3<robot>:[x=6 ,y=6]-[PAX=10],Bus_RB_4<robot>:[x=6 ,y=6]-[PAX=5],Bus_RB_5<robot>:[x=6 ,y=6]-[PAX=1],Bus_RB_6<robot>:[x=6 ,y=6]-[PAX=3],Bus_RB_7<robot>:[x=6 ,y=6]-[PAX=3],Bus_RB_8<robot>:[x=6 ,y=6]-[PAX=3],Bus_RB_9<robot>:[x=6 ,y=6]-[PAX=1]],[BusStop_0:[x=0 ,y=0]-[QLine=17],BusStop_4:[x=4 ,y=4]-[QLine=93],BusStop_3:[x=8 ,y=0]-[QLine=25],BusStop_2:[x=8 ,y=8]-[QLine=34],BusStop_1:[x=0 ,y=8]-[QLine=8]]
32,[Bus_0<man>:[x=7 ,y=7]-[PAX=10],Bus_1<man>:[x=1 ,y=1]-[PAX=10],Bus_RB_2<robot>:[x=7 ,y=7]-[PAX=10],Bus_RB_3<robot>:[x=7 ,y=7]-[PAX=10],Bus_RB_4<robot>:[x=7 ,y=7]-[PAX=5],Bus_RB_5<robot>:[x=7 ,y=7]-[PAX=1],Bus_RB_6<robot>:[x=7 ,y=7]-[PAX=3],Bus_RB_7<robot>:[x=7 ,y=7]-[PAX=3],Bus_RB_8<robot>:[x=7 ,y=7]-[PAX=3],Bus_RB_9<robot>:[x=7 ,y=7]-[PAX=1]],[BusStop_0:[x=0 ,y=0]-[QLine=17],BusStop_4:[x=4 ,y=4]-[QLine=95],BusStop_3:[x=8 ,y=0]-[QLine=30],BusStop_2:[x=8 ,y=8]-[QLine=35],BusStop_1:[x=0 ,y=8]-[QLine=10]]
33,[Bus_0<man>:[x=8 ,y=8]-[PAX=10],Bus_1<man>:[x=0 ,y=0]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=8]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=8]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=8]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=8]-[PAX=10],Bus_RB_6<robot>:[x=8 ,y=8]-[PAX=5],Bus_RB_7<robot>:[x=8 ,y=8]-[PAX=0],Bus_RB_8<robot>:[x=8 ,y=8]-[PAX=0],Bus_RB_9<robot>:[x=8 ,y=8]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=15],BusStop_4:[x=4 ,y=4]-[QLine=99],BusStop_3:[x=8 ,y=0]-[QLine=32],BusStop_2:[x=8 ,y=8]-[QLine=0],BusStop_1:[x=0 ,y=8]-[QLine=10]]
34,[Bus_0<man>:[x=8 ,y=7]-[PAX=10],Bus_1<man>:[x=0 ,y=1]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=7]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=7]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=7]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=7]-[PAX=10],Bus_RB_6<robot>:[x=8 ,y=7]-[PAX=5],Bus_RB_7<robot>:[x=7 ,y=7]-[PAX=0],Bus_RB_8<robot>:[x=7 ,y=7]-[PAX=0],Bus_RB_9<robot>:[x=7 ,y=7]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=17],BusStop_4:[x=4 ,y=4]-[QLine=100],BusStop_3:[x=8 ,y=0]-[QLine=37],BusStop_2:[x=8 ,y=8]-[QLine=2],BusStop_1:[x=0 ,y=8]-[QLine=10]]
35,[Bus_0<man>:[x=8 ,y=6]-[PAX=10],Bus_1<man>:[x=0 ,y=2]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=6]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=6]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=6]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=6]-[PAX=10],Bus_RB_6<robot>:[x=8 ,y=6]-[PAX=5],Bus_RB_7<robot>:[x=6 ,y=6]-[PAX=0],Bus_RB_8<robot>:[x=6 ,y=6]-[PAX=0],Bus_RB_9<robot>:[x=6 ,y=6]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=18],BusStop_4:[x=4 ,y=4]-[QLine=103],BusStop_3:[x=8 ,y=0]-[QLine=39],BusStop_2:[x=8 ,y=8]-[QLine=6],BusStop_1:[x=0 ,y=8]-[QLine=10]]
36,[Bus_0<man>:[x=8 ,y=5]-[PAX=10],Bus_1<man>:[x=0 ,y=3]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=5]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=5]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=5]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=5]-[PAX=10],Bus_RB_6<robot>:[x=8 ,y=5]-[PAX=5],Bus_RB_7<robot>:[x=5 ,y=5]-[PAX=0],Bus_RB_8<robot>:[x=5 ,y=5]-[PAX=0],Bus_RB_9<robot>:[x=5 ,y=5]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=18],BusStop_4:[x=4 ,y=4]-[QLine=107],BusStop_3:[x=8 ,y=0]-[QLine=43],BusStop_2:[x=8 ,y=8]-[QLine=8],BusStop_1:[x=0 ,y=8]-[QLine=10]]
37,[Bus_0<man>:[x=8 ,y=4]-[PAX=10],Bus_1<man>:[x=0 ,y=4]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=4]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=4]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=4]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=4]-[PAX=10],Bus_RB_6<robot>:[x=8 ,y=4]-[PAX=5],Bus_RB_7<robot>:[x=4 ,y=4]-[PAX=10],Bus_RB_8<robot>:[x=4 ,y=4]-[PAX=10],Bus_RB_9<robot>:[x=4 ,y=4]-[PAX=10]],[BusStop_0:[x=0 ,y=0]-[QLine=19],BusStop_4:[x=4 ,y=4]-[QLine=80],BusStop_3:[x=8 ,y=0]-[QLine=47],BusStop_2:[x=8 ,y=8]-[QLine=10],BusStop_1:[x=0 ,y=8]-[QLine=10]]
38,[Bus_0<man>:[x=8 ,y=3]-[PAX=10],Bus_1<man>:[x=0 ,y=5]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=3]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=3]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=3]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=3]-[PAX=10],Bus_RB_6<robot>:[x=8 ,y=3]-[PAX=5],Bus_RB_7<robot>:[x=3 ,y=5]-[PAX=10],Bus_RB_8<robot>:[x=3 ,y=5]-[PAX=10],Bus_RB_9<robot>:[x=3 ,y=5]-[PAX=10]],[BusStop_0:[x=0 ,y=0]-[QLine=19],BusStop_4:[x=4 ,y=4]-[QLine=83],BusStop_3:[x=8 ,y=0]-[QLine=51],BusStop_2:[x=8 ,y=8]-[QLine=13],BusStop_1:[x=0 ,y=8]-[QLine=10]]
39,[Bus_0<man>:[x=8 ,y=2]-[PAX=10],Bus_1<man>:[x=0 ,y=6]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=2]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=2]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=2]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=2]-[PAX=10],Bus_RB_6<robot>:[x=8 ,y=2]-[PAX=5],Bus_RB_7<robot>:[x=2 ,y=6]-[PAX=10],Bus_RB_8<robot>:[x=2 ,y=6]-[PAX=10],Bus_RB_9<robot>:[x=2 ,y=6]-[PAX=10]],[BusStop_0:[x=0 ,y=0]-[QLine=20],BusStop_4:[x=4 ,y=4]-[QLine=84],BusStop_3:[x=8 ,y=0]-[QLine=58],BusStop_2:[x=8 ,y=8]-[QLine=14],BusStop_1:[x=0 ,y=8]-[QLine=10]]
40,[Bus_0<man>:[x=8 ,y=1]-[PAX=10],Bus_1<man>:[x=0 ,y=7]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=1]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=1]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=1]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=1]-[PAX=10],Bus_RB_6<robot>:[x=8 ,y=1]-[PAX=5],Bus_RB_7<robot>:[x=1 ,y=7]-[PAX=10],Bus_RB_8<robot>:[x=1 ,y=7]-[PAX=10],Bus_RB_9<robot>:[x=1 ,y=7]-[PAX=10]],[BusStop_0:[x=0 ,y=0]-[QLine=20],BusStop_4:[x=4 ,y=4]-[QLine=87],BusStop_3:[x=8 ,y=0]-[QLine=61],BusStop_2:[x=8 ,y=8]-[QLine=16],BusStop_1:[x=0 ,y=8]-[QLine=12]]
41,[Bus_0<man>:[x=8 ,y=0]-[PAX=10],Bus_1<man>:[x=0 ,y=8]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_6<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_7<robot>:[x=0 ,y=8]-[PAX=10],Bus_RB_8<robot>:[x=0 ,y=8]-[PAX=9],Bus_RB_9<robot>:[x=0 ,y=8]-[PAX=5]],[BusStop_0:[x=0 ,y=0]-[QLine=20],BusStop_4:[x=4 ,y=4]-[QLine=89],BusStop_3:[x=8 ,y=0]-[QLine=31],BusStop_2:[x=8 ,y=8]-[QLine=19],BusStop_1:[x=0 ,y=8]-[QLine=0]]
42,[Bus_0<man>:[x=7 ,y=1]-[PAX=10],Bus_1<man>:[x=1 ,y=7]-[PAX=10],Bus_RB_2<robot>:[x=7 ,y=1]-[PAX=10],Bus_RB_3<robot>:[x=7 ,y=1]-[PAX=10],Bus_RB_4<robot>:[x=7 ,y=1]-[PAX=10],Bus_RB_5<robot>:[x=7 ,y=1]-[PAX=10],Bus_RB_6<robot>:[x=7 ,y=1]-[PAX=10],Bus_RB_7<robot>:[x=1 ,y=7]-[PAX=10],Bus_RB_8<robot>:[x=1 ,y=7]-[PAX=9],Bus_RB_9<robot>:[x=1 ,y=7]-[PAX=5]],[BusStop_0:[x=0 ,y=0]-[QLine=21],BusStop_4:[x=4 ,y=4]-[QLine=92],BusStop_3:[x=8 ,y=0]-[QLine=35],BusStop_2:[x=8 ,y=8]-[QLine=21],BusStop_1:[x=0 ,y=8]-[QLine=0]]
43,[Bus_0<man>:[x=6 ,y=2]-[PAX=10],Bus_1<man>:[x=2 ,y=6]-[PAX=10],Bus_RB_2<robot>:[x=6 ,y=2]-[PAX=10],Bus_RB_3<robot>:[x=6 ,y=2]-[PAX=10],Bus_RB_4<robot>:[x=6 ,y=2]-[PAX=10],Bus_RB_5<robot>:[x=6 ,y=2]-[PAX=10],Bus_RB_6<robot>:[x=6 ,y=2]-[PAX=10],Bus_RB_7<robot>:[x=2 ,y=6]-[PAX=10],Bus_RB_8<robot>:[x=2 ,y=6]-[PAX=9],Bus_RB_9<robot>:[x=2 ,y=6]-[PAX=5]],[BusStop_0:[x=0 ,y=0]-[QLine=22],BusStop_4:[x=4 ,y=4]-[QLine=94],BusStop_3:[x=8 ,y=0]-[QLine=37],BusStop_2:[x=8 ,y=8]-[QLine=26],BusStop_1:[x=0 ,y=8]-[QLine=0]]
44,[Bus_0<man>:[x=5 ,y=3]-[PAX=10],Bus_1<man>:[x=3 ,y=5]-[PAX=10],Bus_RB_2<robot>:[x=5 ,y=3]-[PAX=10],Bus_RB_3<robot>:[x=5 ,y=3]-[PAX=10],Bus_RB_4<robot>:[x=5 ,y=3]-[PAX=10],Bus_RB_5<robot>:[x=5 ,y=3]-[PAX=10],Bus_RB_6<robot>:[x=5 ,y=3]-[PAX=10],Bus_RB_7<robot>:[x=3 ,y=5]-[PAX=10],Bus_RB_8<robot>:[x=3 ,y=5]-[PAX=9],Bus_RB_9<robot>:[x=3 ,y=5]-[PAX=5]],[BusStop_0:[x=0 ,y=0]-[QLine=23],BusStop_4:[x=4 ,y=4]-[QLine=98],BusStop_3:[x=8 ,y=0]-[QLine=39],BusStop_2:[x=8 ,y=8]-[QLine=28],BusStop_1:[x=0 ,y=8]-[QLine=1]]
45,[Bus_0<man>:[x=4 ,y=4]-[PAX=10],Bus_1<man>:[x=4 ,y=4]-[PAX=10],Bus_RB_2<robot>:[x=4 ,y=4]-[PAX=10],Bus_RB_3<robot>:[x=4 ,y=4]-[PAX=10],Bus_RB_4<robot>:[x=4 ,y=4]-[PAX=6],Bus_RB_5<robot>:[x=4 ,y=4]-[PAX=1],Bus_RB_6<robot>:[x=4 ,y=4]-[PAX=1],Bus_RB_7<robot>:[x=4 ,y=4]-[PAX=10],Bus_RB_8<robot>:[x=4 ,y=4]-[PAX=10],Bus_RB_9<robot>:[x=4 ,y=4]-[PAX=10]],[BusStop_0:[x=0 ,y=0]-[QLine=23],BusStop_4:[x=4 ,y=4]-[QLine=96],BusStop_3:[x=8 ,y=0]-[QLine=45],BusStop_2:[x=8 ,y=8]-[QLine=29],BusStop_1:[x=0 ,y=8]-[QLine=2]]
46,[Bus_0<man>:[x=5 ,y=5]-[PAX=10],Bus_1<man>:[x=3 ,y=3]-[PAX=10],Bus_RB_2<robot>:[x=5 ,y=5]-[PAX=10],Bus_RB_3<robot>:[x=5 ,y=5]-[PAX=10],Bus_RB_4<robot>:[x=5 ,y=5]-[PAX=6],Bus_RB_5<robot>:[x=5 ,y=5]-[PAX=1],Bus_RB_6<robot>:[x=5 ,y=5]-[PAX=1],Bus_RB_7<robot>:[x=3 ,y=3]-[PAX=10],Bus_RB_8<robot>:[x=3 ,y=3]-[PAX=10],Bus_RB_9<robot>:[x=3 ,y=3]-[PAX=10]],[BusStop_0:[x=0 ,y=0]-[QLine=23],BusStop_4:[x=4 ,y=4]-[QLine=100],BusStop_3:[x=8 ,y=0]-[QLine=49],BusStop_2:[x=8 ,y=8]-[QLine=30],BusStop_1:[x=0 ,y=8]-[QLine=3]]
47,[Bus_0<man>:[x=6 ,y=6]-[PAX=10],Bus_1<man>:[x=2 ,y=2]-[PAX=10],Bus_RB_2<robot>:[x=6 ,y=6]-[PAX=10],Bus_RB_3<robot>:[x=6 ,y=6]-[PAX=10],Bus_RB_4<robot>:[x=6 ,y=6]-[PAX=6],Bus_RB_5<robot>:[x=6 ,y=6]-[PAX=1],Bus_RB_6<robot>:[x=6 ,y=6]-[PAX=1],Bus_RB_7<robot>:[x=2 ,y=2]-[PAX=10],Bus_RB_8<robot>:[x=2 ,y=2]-[PAX=10],Bus_RB_9<robot>:[x=2 ,y=2]-[PAX=10]],[BusStop_0:[x=0 ,y=0]-[QLine=23],BusStop_4:[x=4 ,y=4]-[QLine=101],BusStop_3:[x=8 ,y=0]-[QLine=53],BusStop_2:[x=8 ,y=8]-[QLine=35],BusStop_1:[x=0 ,y=8]-[QLine=3]]
48,[Bus_0<man>:[x=7 ,y=7]-[PAX=10],Bus_1<man>:[x=1 ,y=1]-[PAX=10],Bus_RB_2<robot>:[x=7 ,y=7]-[PAX=10],Bus_RB_3<robot>:[x=7 ,y=7]-[PAX=10],Bus_RB_4<robot>:[x=7 ,y=7]-[PAX=6],Bus_RB_5<robot>:[x=7 ,y=7]-[PAX=1],Bus_RB_6<robot>:[x=7 ,y=7]-[PAX=1],Bus_RB_7<robot>:[x=1 ,y=1]-[PAX=10],Bus_RB_8<robot>:[x=1 ,y=1]-[PAX=10],Bus_RB_9<robot>:[x=1 ,y=1]-[PAX=10]],[BusStop_0:[x=0 ,y=0]-[QLine=24],BusStop_4:[x=4 ,y=4]-[QLine=102],BusStop_3:[x=8 ,y=0]-[QLine=55],BusStop_2:[x=8 ,y=8]-[QLine=39],BusStop_1:[x=0 ,y=8]-[QLine=5]]
49,[Bus_0<man>:[x=8 ,y=8]-[PAX=10],Bus_1<man>:[x=0 ,y=0]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=8]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=8]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=8]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=8]-[PAX=10],Bus_RB_6<robot>:[x=8 ,y=8]-[PAX=9],Bus_RB_7<robot>:[x=0 ,y=0]-[PAX=10],Bus_RB_8<robot>:[x=0 ,y=0]-[PAX=10],Bus_RB_9<robot>:[x=0 ,y=0]-[PAX=7]],[BusStop_0:[x=0 ,y=0]-[QLine=0],BusStop_4:[x=4 ,y=4]-[QLine=104],BusStop_3:[x=8 ,y=0]-[QLine=58],BusStop_2:[x=8 ,y=8]-[QLine=0],BusStop_1:[x=0 ,y=8]-[QLine=5]]
50,[Bus_0<man>:[x=8 ,y=7]-[PAX=10],Bus_1<man>:[x=0 ,y=1]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=7]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=7]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=7]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=7]-[PAX=10],Bus_RB_6<robot>:[x=8 ,y=7]-[PAX=9],Bus_RB_7<robot>:[x=0 ,y=1]-[PAX=10],Bus_RB_8<robot>:[x=0 ,y=1]-[PAX=10],Bus_RB_9<robot>:[x=0 ,y=1]-[PAX=7]],[BusStop_0:[x=0 ,y=0]-[QLine=0],BusStop_4:[x=4 ,y=4]-[QLine=106],BusStop_3:[x=8 ,y=0]-[QLine=62],BusStop_2:[x=8 ,y=8]-[QLine=3],BusStop_1:[x=0 ,y=8]-[QLine=6]]
51,[Bus_0<man>:[x=8 ,y=6]-[PAX=10],Bus_1<man>:[x=0 ,y=2]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=6]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=6]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=6]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=6]-[PAX=10],Bus_RB_6<robot>:[x=8 ,y=6]-[PAX=9],Bus_RB_7<robot>:[x=0 ,y=2]-[PAX=10],Bus_RB_8<robot>:[x=0 ,y=2]-[PAX=10],Bus_RB_9<robot>:[x=0 ,y=2]-[PAX=7]],[BusStop_0:[x=0 ,y=0]-[QLine=1],BusStop_4:[x=4 ,y=4]-[QLine=107],BusStop_3:[x=8 ,y=0]-[QLine=67],BusStop_2:[x=8 ,y=8]-[QLine=6],BusStop_1:[x=0 ,y=8]-[QLine=6]]
52,[Bus_0<man>:[x=8 ,y=5]-[PAX=10],Bus_1<man>:[x=0 ,y=3]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=5]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=5]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=5]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=5]-[PAX=10],Bus_RB_6<robot>:[x=8 ,y=5]-[PAX=9],Bus_RB_7<robot>:[x=0 ,y=3]-[PAX=10],Bus_RB_8<robot>:[x=0 ,y=3]-[PAX=10],Bus_RB_9<robot>:[x=0 ,y=3]-[PAX=7]],[BusStop_0:[x=0 ,y=0]-[QLine=2],BusStop_4:[x=4 ,y=4]-[QLine=108],BusStop_3:[x=8 ,y=0]-[QLine=70],BusStop_2:[x=8 ,y=8]-[QLine=10],BusStop_1:[x=0 ,y=8]-[QLine=7]]
53,[Bus_0<man>:[x=8 ,y=4]-[PAX=10],Bus_1<man>:[x=0 ,y=4]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=4]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=4]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=4]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=4]-[PAX=10],Bus_RB_6<robot>:[x=8 ,y=4]-[PAX=9],Bus_RB_7<robot>:[x=0 ,y=4]-[PAX=10],Bus_RB_8<robot>:[x=0 ,y=4]-[PAX=10],Bus_RB_9<robot>:[x=0 ,y=4]-[PAX=7]],[BusStop_0:[x=0 ,y=0]-[QLine=2],BusStop_4:[x=4 ,y=4]-[QLine=112],BusStop_3:[x=8 ,y=0]-[QLine=73],BusStop_2:[x=8 ,y=8]-[QLine=12],BusStop_1:[x=0 ,y=8]-[QLine=8]]
54,[Bus_0<man>:[x=8 ,y=3]-[PAX=10],Bus_1<man>:[x=0 ,y=5]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=3]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=3]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=3]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=3]-[PAX=10],Bus_RB_6<robot>:[x=8 ,y=3]-[PAX=9],Bus_RB_7<robot>:[x=0 ,y=5]-[PAX=10],Bus_RB_8<robot>:[x=0 ,y=5]-[PAX=10],Bus_RB_9<robot>:[x=0 ,y=5]-[PAX=7]],[BusStop_0:[x=0 ,y=0]-[QLine=2],BusStop_4:[x=4 ,y=4]-[QLine=112],BusStop_3:[x=8 ,y=0]-[QLine=78],BusStop_2:[x=8 ,y=8]-[QLine=15],BusStop_1:[x=0 ,y=8]-[QLine=10]]
55,[Bus_0<man>:[x=8 ,y=2]-[PAX=10],Bus_1<man>:[x=0 ,y=6]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=2]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=2]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=2]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=2]-[PAX=10],Bus_RB_6<robot>:[x=8 ,y=2]-[PAX=9],Bus_RB_7<robot>:[x=0 ,y=6]-[PAX=10],Bus_RB_8<robot>:[x=0 ,y=6]-[PAX=10],Bus_RB_9<robot>:[x=0 ,y=6]-[PAX=7]],[BusStop_0:[x=0 ,y=0]-[QLine=3],BusStop_4:[x=4 ,y=4]-[QLine=117],BusStop_3:[x=8 ,y=0]-[QLine=81],BusStop_2:[x=8 ,y=8]-[QLine=16],BusStop_1:[x=0 ,y=8]-[QLine=10]]
56,[Bus_0<man>:[x=8 ,y=1]-[PAX=10],Bus_1<man>:[x=0 ,y=7]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=1]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=1]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=1]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=1]-[PAX=10],Bus_RB_6<robot>:[x=8 ,y=1]-[PAX=9],Bus_RB_7<robot>:[x=0 ,y=7]-[PAX=10],Bus_RB_8<robot>:[x=0 ,y=7]-[PAX=10],Bus_RB_9<robot>:[x=0 ,y=7]-[PAX=7]],[BusStop_0:[x=0 ,y=0]-[QLine=3],BusStop_4:[x=4 ,y=4]-[QLine=117],BusStop_3:[x=8 ,y=0]-[QLine=89],BusStop_2:[x=8 ,y=8]-[QLine=18],BusStop_1:[x=0 ,y=8]-[QLine=10]]
57,[Bus_0<man>:[x=8 ,y=0]-[PAX=10],Bus_1<man>:[x=0 ,y=8]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_6<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_7<robot>:[x=0 ,y=8]-[PAX=10],Bus_RB_8<robot>:[x=0 ,y=8]-[PAX=8],Bus_RB_9<robot>:[x=0 ,y=8]-[PAX=2]],[BusStop_0:[x=0 ,y=0]-[QLine=3],BusStop_4:[x=4 ,y=4]-[QLine=119],BusStop_3:[x=8 ,y=0]-[QLine=66],BusStop_2:[x=8 ,y=8]-[QLine=20],BusStop_1:[x=0 ,y=8]-[QLine=0]]
58,[Bus_0<man>:[x=7 ,y=1]-[PAX=10],Bus_1<man>:[x=1 ,y=7]-[PAX=10],Bus_RB_2<robot>:[x=7 ,y=1]-[PAX=10],Bus_RB_3<robot>:[x=7 ,y=1]-[PAX=10],Bus_RB_4<robot>:[x=7 ,y=1]-[PAX=10],Bus_RB_5<robot>:[x=7 ,y=1]-[PAX=10],Bus_RB_6<robot>:[x=7 ,y=1]-[PAX=10],Bus_RB_7<robot>:[x=1 ,y=7]-[PAX=10],Bus_RB_8<robot>:[x=1 ,y=7]-[PAX=8],Bus_RB_9<robot>:[x=1 ,y=7]-[PAX=2]],[BusStop_0:[x=0 ,y=0]-[QLine=3],BusStop_4:[x=4 ,y=4]-[QLine=119],BusStop_3:[x=8 ,y=0]-[QLine=72],BusStop_2:[x=8 ,y=8]-[QLine=23],BusStop_1:[x=0 ,y=8]-[QLine=1]]
59,[Bus_0<man>:[x=6 ,y=2]-[PAX=10],Bus_1<man>:[x=2 ,y=6]-[PAX=10],Bus_RB_2<robot>:[x=6 ,y=2]-[PAX=10],Bus_RB_3<robot>:[x=6 ,y=2]-[PAX=10],Bus_RB_4<robot>:[x=6 ,y=2]-[PAX=10],Bus_RB_5<robot>:[x=6 ,y=2]-[PAX=10],Bus_RB_6<robot>:[x=6 ,y=2]-[PAX=10],Bus_RB_7<robot>:[x=2 ,y=6]-[PAX=10],Bus_RB_8<robot>:[x=2 ,y=6]-[PAX=8],Bus_RB_9<robot>:[x=2 ,y=6]-[PAX=2]],[BusStop_0:[x=0 ,y=0]-[QLine=4],BusStop_4:[x=4 ,y=4]-[QLine=123],BusStop_3:[x=8 ,y=0]-[QLine=74],BusStop_2:[x=8 ,y=8]-[QLine=24],BusStop_1:[x=0 ,y=8]-[QLine=3]]
